level_id,side,touched_at,reason
1397,upper,2023-06-12 03:51:00-04:00,sal_active
1408,upper,2023-06-30 08:39:00-04:00,position_open
1410,upper,2023-06-30 08:39:00-04:00,position_open
1405,upper,2023-06-30 10:20:00-04:00,position_open
1415,lower,2023-07-06 08:38:00-04:00,position_open
1417,lower,2023-07-06 10:05:00-04:00,sal_active
1420,upper,2023-07-12 08:30:00-04:00,position_open
1419,upper,2023-07-12 08:31:00-04:00,sal_active
1421,upper,2023-07-12 08:31:00-04:00,sal_active
1406,upper,2023-07-12 09:48:00-04:00,sal_active
1414,upper,2023-07-12 10:09:00-04:00,sal_active
1416,upper,2023-07-12 10:09:00-04:00,sal_active
1415,upper,2023-07-12 10:19:00-04:00,sal_active
1432,upper,2023-07-27 03:49:00-04:00,position_open
1431,upper,2023-07-27 04:09:00-04:00,position_open
1429,upper,2023-07-27 09:45:00-04:00,sal_active
1439,lower,2023-08-08 10:57:00-04:00,position_open
1443,lower,2023-08-11 08:49:00-04:00,sal_active
1445,lower,2023-08-17 10:33:00-04:00,sal_active
1455,upper,2023-08-29 10:22:00-04:00,position_open
1443,upper,2023-08-31 10:00:00-04:00,position_open
1453,upper,2023-08-31 10:21:00-04:00,position_open
1457,upper,2023-09-01 08:32:00-04:00,position_open
1457,lower,2023-09-07 08:32:00-04:00,position_open
1466,lower,2023-09-13 08:30:00-04:00,position_open
1492,lower,2023-10-19 03:49:00-04:00,position_open
1482,lower,2023-10-23 05:31:00-04:00,position_open
1477,lower,2023-10-23 05:32:00-04:00,position_open
1484,lower,2023-10-23 05:48:00-04:00,sal_active
1500,upper,2023-11-01 10:23:00-04:00,position_open
1503,upper,2023-11-03 09:43:00-04:00,position_open
1493,upper,2023-11-07 09:18:00-05:00,position_open
1492,upper,2023-11-07 10:28:00-05:00,sal_active
1491,upper,2023-11-07 10:40:00-05:00,sal_active
1505,upper,2023-11-07 10:41:00-05:00,sal_active
1520,upper,2023-11-29 08:06:00-05:00,position_open
1518,upper,2023-11-29 08:30:00-05:00,sal_active
1519,upper,2023-11-29 08:30:00-05:00,sal_active
1519,lower,2023-11-30 10:48:00-05:00,sal_active
1516,lower,2023-12-04 09:51:00-05:00,position_open
1523,lower,2023-12-04 10:15:00-05:00,position_open
1524,lower,2023-12-04 10:24:00-05:00,position_open
1515,lower,2023-12-04 10:28:00-05:00,sal_active
1514,lower,2023-12-04 10:53:00-05:00,sal_active
1526,upper,2023-12-06 09:23:00-05:00,position_open
1528,upper,2023-12-08 10:24:00-05:00,position_open
1527,upper,2023-12-11 00:00:00-05:00,position_open
1529,upper,2023-12-11 00:00:00-05:00,position_open
1517,upper,2023-12-11 04:25:00-05:00,sal_active
1522,upper,2023-12-11 09:33:00-05:00,sal_active
1539,lower,2024-01-02 06:34:00-05:00,position_open
1538,lower,2024-01-02 09:56:00-05:00,sal_active
1535,lower,2024-01-02 10:30:00-05:00,sal_active
1547,upper,2024-01-08 10:48:00-05:00,position_open
1552,lower,2024-01-16 03:04:00-05:00,position_open
1550,lower,2024-01-17 10:00:00-05:00,position_open
1551,lower,2024-01-17 10:00:00-05:00,position_open
1553,upper,2024-01-18 10:48:00-05:00,position_open
1551,upper,2024-01-19 04:13:00-05:00,position_open
1558,upper,2024-01-24 10:29:00-05:00,sal_active
1562,lower,2024-01-31 04:17:00-05:00,position_open
1558,lower,2024-01-31 06:01:00-05:00,sal_active
1559,lower,2024-01-31 10:32:00-05:00,sal_active
1560,upper,2024-02-07 10:27:00-05:00,position_open
1561,upper,2024-02-07 10:52:00-05:00,position_open
1569,upper,2024-02-09 08:31:00-05:00,sal_active
1571,upper,2024-02-09 10:34:00-05:00,sal_active
1572,lower,2024-02-13 08:30:00-05:00,sal_active
1571,lower,2024-02-13 08:32:00-05:00,sal_active
1578,lower,2024-02-20 03:21:00-05:00,sal_active
1575,lower,2024-02-20 09:40:00-05:00,sal_active
1577,lower,2024-02-20 09:40:00-05:00,sal_active
1568,lower,2024-02-20 10:30:00-05:00,sal_active
1579,upper,2024-02-22 09:45:00-05:00,position_open
1584,upper,2024-03-01 10:10:00-05:00,position_open
